,Surroundings,Inventory,Action,Response,Reward,Reward_Type,Score,Moves,Total_Moves
24,clearing you are in a clearing with a forest surrounding you on all sides a path leads south in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile on the ground is a pile of leaves you are carrying a bird's nest,you are carrying a bird's nest,go south,forest path,1.5, new area score ---forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are carrying a bird's nest - moved around - ,18.5,24,24
25,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are carrying a bird's nest,you are carrying a bird's nest,go south,north of house,1.5, new area score ---north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees you are carrying a bird's nest - moved around - ,20.0,25,25
26,north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees you are carrying a bird's nest,you are carrying a bird's nest,go north,forest path,-0.5, - moved around - ,19.5,26,26
27,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are carrying a bird's nest,you are carrying a bird's nest,go east,forest,1.5, new area score ---forest this is a dimly lit forest with large trees all around you are carrying a bird's nest - moved around - ,21.0,27,27
28,forest this is a dimly lit forest with large trees all around you are carrying a bird's nest,you are carrying a bird's nest ,leave nest,dropped ,4.5, inventory score (you are carrying a bird's nest  --- you are empty-handed) new area score ---forest this is a dimly lit forest with large trees all around there is a bird's nest here you are empty-handed - moved around - ,25.5,28,28
29,forest this is a dimly lit forest with large trees all around there is a bird's nest here you are empty-handed,you are empty-handed,get nest,taken,2.5, inventory score (you are empty-handed --- you are carrying a bird's nest) - moved around - ,28.0,29,29
30,forest this is a dimly lit forest with large trees all around you are carrying a bird's nest,you are carrying a bird's nest,go west,forest path,-0.5, - moved around - ,27.5,30,30
31,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are carrying a bird's nest,you are carrying a bird's nest,go east,forest,-0.5, - moved around - ,27.0,31,31
32,forest this is a dimly lit forest with large trees all around you are carrying a bird's nest,you are carrying a bird's nest,go west,forest path,-0.5, - moved around - ,26.5,32,32
33,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are carrying a bird's nest,you are carrying a bird's nest,read tree with path,how does one look through a way,-1.0,,25.5,33,33
34,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are carrying a bird's nest,you are carrying a bird's nest,fill path with nest,you can't do that,-1.0,,24.5,34,34
35,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are carrying a bird's nest,you are carrying a bird's nest ,go west,forest,1.5, new area score ---forest this is a forest with trees in all directions to the east there appears to be sunlight you are carrying a bird's nest - moved around - ,26.0,35,35
36,forest this is a forest with trees in all directions to the east there appears to be sunlight you are carrying a bird's nest,you are carrying a bird's nest,go south,forest this is a dimly lit forest with large trees all around,-0.5, - moved around - ,25.5,36,36
37,forest this is a dimly lit forest with large trees all around you are carrying a bird's nest,you are carrying a bird's nest,leave nest,dropped,2.5, inventory score (you are carrying a bird's nest --- you are empty-handed) - moved around - ,28.0,37,37
38,forest this is a dimly lit forest with large trees all around there is a bird's nest here you are empty-handed,you are empty-handed,eat nest,taken i don't think that the bird's nest would agree with you,0.0, - moved around - ,28.0,38,38
39,forest this is a dimly lit forest with large trees all around you are carrying a bird's nest,you are carrying a bird's nest,go west,forest,-0.5, - moved around - ,27.5,39,39
40,forest this is a forest with trees in all directions to the east there appears to be sunlight you are carrying a bird's nest,you are carrying a bird's nest,leave nest,dropped,2.0, new area score ---forest this is a forest with trees in all directions to the east there appears to be sunlight there is a bird's nest here you are empty-handed - moved around - ,29.5,40,40
41,forest this is a forest with trees in all directions to the east there appears to be sunlight there is a bird's nest here you are empty-handed,you are empty-handed,go north,clearing in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile on the ground is a pile of leaves,1.5, new area score ---clearing you are in a clearing with a forest surrounding you on all sides a path leads south in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile on the ground is a pile of leaves you are empty-handed - moved around - ,31.0,41,41
42,clearing you are in a clearing with a forest surrounding you on all sides a path leads south in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile on the ground is a pile of leaves you are empty-handed,you are empty-handed,play path,that's silly,-1.0,,30.0,42,42
43,clearing you are in a clearing with a forest surrounding you on all sides a path leads south in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile on the ground is a pile of leaves you are empty-handed,you are empty-handed,feel gold,you can't see any gold here,-1.0,,29.0,43,43
44,clearing you are in a clearing with a forest surrounding you on all sides a path leads south in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile on the ground is a pile of leaves you are empty-handed,you are empty-handed,get nest,you can't see any nest here,-1.0,,28.0,44,44
45,clearing you are in a clearing with a forest surrounding you on all sides a path leads south in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile on the ground is a pile of leaves you are empty-handed,you are empty-handed,carry path from nest,,1.0, new area score ---you can't see any nest here clearing score 0 moves 163 clearing you are in a clearing with a forest surrounding you on all sides a path leads south in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile on the ground is a pile of leaves you are empty-handed,29.0,45,45
46,clearing you are in a clearing with a forest surrounding you on all sides a path leads south in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile on the ground is a pile of leaves you are empty-handed,you are empty-handed,go northeast,you can't go that way,-1.0,,28.0,46,46
47,clearing you are in a clearing with a forest surrounding you on all sides a path leads south in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile on the ground is a pile of leaves you are empty-handed,you are empty-handed,go up,you can't go that way,-1.0,,27.0,47,47
48,clearing you are in a clearing with a forest surrounding you on all sides a path leads south in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile on the ground is a pile of leaves you are empty-handed,you are empty-handed,read one with bird,there seems to be a noun missing in that sentence,-1.0,,26.0,48,48
49,clearing you are in a clearing with a forest surrounding you on all sides a path leads south in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile on the ground is a pile of leaves you are empty-handed,you are empty-handed,read path with nest,,1.0, new area score ---you can't see any nest here clearing score 0 moves 176 clearing you are in a clearing with a forest surrounding you on all sides a path leads south in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile on the ground is a pile of leaves you are empty-handed,27.0,49,49
50,clearing you are in a clearing with a forest surrounding you on all sides a path leads south in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile on the ground is a pile of leaves you are empty-handed,you are empty-handed,carry path from bird,you can't see any bird here,-1.0,,26.0,50,50
51,clearing you are in a clearing with a forest surrounding you on all sides a path leads south in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile on the ground is a pile of leaves you are empty-handed,you are empty-handed,pick bird with nest,those things aren't here,-1.0,,25.0,51,51
52,clearing you are in a clearing with a forest surrounding you on all sides a path leads south in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile on the ground is a pile of leaves you are empty-handed,you are empty-handed,go west,forest there is a bird's nest here,-0.5, - moved around - ,24.5,52,52
53,forest this is a forest with trees in all directions to the east there appears to be sunlight there is a bird's nest here you are empty-handed,you are empty-handed,go north,clearing in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile on the ground is a pile of leaves,-0.5, - moved around - ,24.0,53,53
54,clearing you are in a clearing with a forest surrounding you on all sides a path leads south in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile on the ground is a pile of leaves you are empty-handed,you are empty-handed,get bird,you can't see any bird here,-1.0,,23.0,54,54
55,clearing you are in a clearing with a forest surrounding you on all sides a path leads south in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile on the ground is a pile of leaves you are empty-handed,you are empty-handed,find path,i can't help you there,-1.0,,22.0,55,55
56,clearing you are in a clearing with a forest surrounding you on all sides a path leads south in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile on the ground is a pile of leaves you are empty-handed,you are empty-handed,ask path,you can't talk to the way,-1.0,,21.0,56,56
57,clearing you are in a clearing with a forest surrounding you on all sides a path leads south in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile on the ground is a pile of leaves you are empty-handed,you are empty-handed,break path,what do you want to break the path with,-1.0,,20.0,57,57
58,clearing you are in a clearing with a forest surrounding you on all sides a path leads south in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile on the ground is a pile of leaves you are empty-handed,you are empty-handed,pick one with bird,there seems to be a noun missing in that sentence,-1.0,,19.0,58,58
59,clearing you are in a clearing with a forest surrounding you on all sides a path leads south in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile on the ground is a pile of leaves you are empty-handed,you are empty-handed,pick one with nest,there seems to be a noun missing in that sentence,-1.0,,18.0,59,59
60,clearing you are in a clearing with a forest surrounding you on all sides a path leads south in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile on the ground is a pile of leaves you are empty-handed,you are empty-handed,play nest,you can't see any nest here,-1.0,,17.0,60,60
61,clearing you are in a clearing with a forest surrounding you on all sides a path leads south in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile on the ground is a pile of leaves you are empty-handed,you are empty-handed,go north,the forest becomes impenetrable to the north,-1.0,,16.0,61,61
62,clearing you are in a clearing with a forest surrounding you on all sides a path leads south in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile on the ground is a pile of leaves you are empty-handed,you are empty-handed,get gold,you can't see any gold here,-1.0,,15.0,62,62
63,clearing you are in a clearing with a forest surrounding you on all sides a path leads south in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile on the ground is a pile of leaves you are empty-handed,you are empty-handed,carry bird from one,there seems to be a noun missing in that sentence,-1.0,,14.0,63,63
64,clearing you are in a clearing with a forest surrounding you on all sides a path leads south in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile on the ground is a pile of leaves you are empty-handed,you are empty-handed,give one to bird,there seems to be a noun missing in that sentence,-1.0,,13.0,64,64
65,clearing you are in a clearing with a forest surrounding you on all sides a path leads south in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile on the ground is a pile of leaves you are empty-handed,you are empty-handed,pull one,there seems to be a noun missing in that sentence,-1.0,,12.0,65,65
66,clearing you are in a clearing with a forest surrounding you on all sides a path leads south in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile on the ground is a pile of leaves you are empty-handed,you are empty-handed,enter bird,you can't see any bird here,-1.0,,11.0,66,66
67,clearing you are in a clearing with a forest surrounding you on all sides a path leads south in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile on the ground is a pile of leaves you are empty-handed,you are empty-handed,give bird to gold,you don't have that,-1.0,,10.0,67,67
68,clearing you are in a clearing with a forest surrounding you on all sides a path leads south in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile on the ground is a pile of leaves you are empty-handed,you are empty-handed,read nest with bird,those things aren't here,-1.0,,9.0,68,68
69,clearing you are in a clearing with a forest surrounding you on all sides a path leads south in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile on the ground is a pile of leaves you are empty-handed,you are empty-handed,give path to gold,you don't have the way,-1.0,,8.0,69,69
70,clearing you are in a clearing with a forest surrounding you on all sides a path leads south in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile on the ground is a pile of leaves you are empty-handed,you are empty-handed,unlock bird with one,there seems to be a noun missing in that sentence,-1.0,,7.0,70,70
71,clearing you are in a clearing with a forest surrounding you on all sides a path leads south in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile on the ground is a pile of leaves you are empty-handed,you are empty-handed,pull path,you can't move the way,-1.0,,6.0,71,71
72,clearing you are in a clearing with a forest surrounding you on all sides a path leads south in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile on the ground is a pile of leaves you are empty-handed,you are empty-handed,fill one with path,there seems to be a noun missing in that sentence,-1.0,,5.0,72,72
73,clearing you are in a clearing with a forest surrounding you on all sides a path leads south in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile on the ground is a pile of leaves you are empty-handed,you are empty-handed,pick one with gold,there seems to be a noun missing in that sentence,-1.0,,4.0,73,73
74,clearing you are in a clearing with a forest surrounding you on all sides a path leads south in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile on the ground is a pile of leaves you are empty-handed,you are empty-handed,eat path,i don't think that the way would agree with you,-1.0,,3.0,74,74
75,clearing you are in a clearing with a forest surrounding you on all sides a path leads south in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile on the ground is a pile of leaves you are empty-handed,you are empty-handed,unlock one with bird,there seems to be a noun missing in that sentence,-1.0,,2.0,75,75
76,clearing you are in a clearing with a forest surrounding you on all sides a path leads south in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile on the ground is a pile of leaves you are empty-handed,you are empty-handed,read nest with one,there seems to be a noun missing in that sentence,-1.0,,1.0,76,76
77,clearing you are in a clearing with a forest surrounding you on all sides a path leads south in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile on the ground is a pile of leaves you are empty-handed,you are empty-handed,pull gold,you can't see any gold here,-1.0,,0.0,77,77
78,clearing you are in a clearing with a forest surrounding you on all sides a path leads south in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile on the ground is a pile of leaves you are empty-handed,you are empty-handed,open nest,you can't see any nest here,-1.0,,-1.0,78,78
