,Surroundings,Inventory,Action,Response,Reward,Reward_Type,Score,Moves,Total_Moves
41,forest this is a dimly lit forest with large trees all around you are empty-handed,you are empty-handed,go west,forest,-0.5, - moved around - ,159.0,41,41
42,forest this is a forest with trees in all directions to the east there appears to be sunlight you are empty-handed,you are empty-handed,go east,forest path,-0.5, - moved around - ,158.5,42,42
43,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are empty-handed,you are empty-handed ,go up,up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach beside you on the branch is a small bird's nest in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile,19.5, new area score ---up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach beside you on the branch is a small bird's nest in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile you are empty-handed - moved around - ,178.0,43,43
44,up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach beside you on the branch is a small bird's nest in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile you are empty-handed,you are empty-handed,read nest,taken how does one read a bird's nest,69.5, inventory score (you are empty-handed --- you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg) new area score ---up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg - moved around - ,247.5,44,44
45,up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg,you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg,go down,forest path,19.5, new area score ---forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg - moved around - ,267.0,45,45
46,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg,you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg,pick bird with egg,you can't see any songbird here ,-1.0,,266.0,46,46
47,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg,you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg,go north,clearing on the ground is a pile of leaves,19.5, new area score ---clearing you are in a clearing with a forest surrounding you on all sides a path leads south on the ground is a pile of leaves you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg - moved around - ,285.5,47,47
48,clearing you are in a clearing with a forest surrounding you on all sides a path leads south on the ground is a pile of leaves you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg,you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg,go west,forest,19.5, new area score ---forest this is a forest with trees in all directions to the east there appears to be sunlight you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg - moved around - ,305.0,48,48
49,forest this is a forest with trees in all directions to the east there appears to be sunlight you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg,you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg,leave nest,dropped,69.5, inventory score (you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg --- you are empty-handed) new area score ---forest this is a forest with trees in all directions to the east there appears to be sunlight there is a bird's nest here in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile you are empty-handed - moved around - ,374.5,49,49
50,forest this is a forest with trees in all directions to the east there appears to be sunlight there is a bird's nest here in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile you are empty-handed,you are empty-handed,pick nest with gold,you can't see any gold here,-1.0,,373.5,50,50
51,forest this is a forest with trees in all directions to the east there appears to be sunlight there is a bird's nest here in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile you are empty-handed,you are empty-handed ,fill nest with one,there seems to be a noun missing in that sentence,-1.0,,372.5,51,51
52,forest this is a forest with trees in all directions to the east there appears to be sunlight there is a bird's nest here in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile you are empty-handed,you are empty-handed,read bird with nest,how does one look through a bird's nest ,-1.0,,371.5,52,52
53,forest this is a forest with trees in all directions to the east there appears to be sunlight there is a bird's nest here in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile you are empty-handed,you are empty-handed,carry nest to gold,that sentence isn't one i recognize,-1.0,,370.5,53,53
54,forest this is a forest with trees in all directions to the east there appears to be sunlight there is a bird's nest here in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile you are empty-handed,you are empty-handed,get nest,taken,0.0, - moved around - ,370.5,54,54
55,forest this is a forest with trees in all directions to the east there appears to be sunlight you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg,you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg,leave nest,dropped,0.0, - moved around - ,370.5,55,55
56,forest this is a forest with trees in all directions to the east there appears to be sunlight there is a bird's nest here in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile you are empty-handed,you are empty-handed,fill bird with nest,that's easy for you to say since you don't even have the bird's nest,-1.0,,369.5,56,56
57,forest this is a forest with trees in all directions to the east there appears to be sunlight there is a bird's nest here in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile you are empty-handed,you are empty-handed,carry nest from bird,the bird's nest isn't in the songbird,-1.0,,368.5,57,57
58,forest this is a forest with trees in all directions to the east there appears to be sunlight there is a bird's nest here in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile you are empty-handed,you are empty-handed,go east,forest path,-0.5, - moved around - ,368.0,58,58
59,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are empty-handed,you are empty-handed,go west,forest there is a bird's nest here in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile,-0.5, - moved around - ,367.5,59,59
60,forest this is a forest with trees in all directions to the east there appears to be sunlight there is a bird's nest here in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile you are empty-handed,you are empty-handed,go north,clearing on the ground is a pile of leaves,-0.5, - moved around - ,367.0,60,60
61,clearing you are in a clearing with a forest surrounding you on all sides a path leads south on the ground is a pile of leaves you are empty-handed,you are empty-handed,go east,forest,-0.5, - moved around - ,366.5,61,61
62,forest this is a dimly lit forest with large trees all around you are empty-handed,you are empty-handed,go west,forest path,-0.5, - moved around - ,366.0,62,62
63,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are empty-handed,you are empty-handed,go west,forest there is a bird's nest here in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile,-0.5, - moved around - ,365.5,63,63
64,west of house you are standing in an open field west of a white house with a boarded front door there is a small mailbox here you are empty-handed,you are empty-handed,go south,south of house you are facing the south side of a white house there is no door here and all the windows are boarded,19.5, new area score ---south of house you are facing the south side of a white house there is no door here and all the windows are boarded you are empty-handed - moved around - ,19.5,0,64
65,south of house you are facing the south side of a white house there is no door here and all the windows are boarded you are empty-handed,you are empty-handed,go northwest,west of house there is a small mailbox here,-0.5, - moved around - ,19.0,1,65
66,west of house you are standing in an open field west of a white house with a boarded front door there is a small mailbox here you are empty-handed,you are empty-handed,go west,forest this is a forest with trees in all directions to the east there appears to be sunlight,19.5, new area score ---forest this is a forest with trees in all directions to the east there appears to be sunlight you are empty-handed - moved around - ,38.5,2,66
67,forest this is a forest with trees in all directions to the east there appears to be sunlight you are empty-handed,you are empty-handed,go north,clearing you are in a clearing with a forest surrounding you on all sides a path leads south on the ground is a pile of leaves,19.5, new area score ---clearing you are in a clearing with a forest surrounding you on all sides a path leads south on the ground is a pile of leaves you are empty-handed - moved around - ,58.0,3,67
68,clearing you are in a clearing with a forest surrounding you on all sides a path leads south on the ground is a pile of leaves you are empty-handed,you are empty-handed,go south,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path,19.5, new area score ---forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are empty-handed - moved around - ,77.5,4,68
69,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are empty-handed,you are empty-handed,go up,up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach beside you on the branch is a small bird's nest in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile,19.5, new area score ---up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach beside you on the branch is a small bird's nest in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile you are empty-handed - moved around - ,97.0,5,69
70,up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach beside you on the branch is a small bird's nest in the bird's nest is a large egg encrusted with precious jewels apparently scavenged by a childless songbird the egg is covered with fine gold inlay and ornamented in lapis lazuli and mother-of-pearl unlike most eggs this one is hinged and closed with a delicate looking clasp the egg appears extremely fragile you are empty-handed,you are empty-handed,unlock bird with nest,taken you can't see any songbird here,69.5, inventory score (you are empty-handed --- you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg ) new area score ---up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg - moved around - ,166.5,6,70
71,up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg,you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg ,leave nest,the nest falls to the ground and the egg spills out of it seriously damaged,69.5, inventory score (you are carrying a bird's nest the bird's nest contains a jewel-encrusted egg  --- you are empty-handed ) new area score ---up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach there is a bird's nest here you are empty-handed - moved around - ,236.0,7,71
72,up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach there is a bird's nest here you are empty-handed,you are empty-handed ,eat nest,taken i don't think that the bird's nest would agree with you,69.5, inventory score (you are empty-handed  --- you are carrying a bird's nest) new area score ---up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach you are carrying a bird's nest - moved around - ,305.5,8,72
73,up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach you are carrying a bird's nest,you are carrying a bird's nest,go down,forest path there is a somewhat ruined egg here there is a golden clockwork canary nestled in the egg it seems to have recently had a bad experience the mountings for its jewel-like eyes are empty and its silver beak is crumpled through a cracked crystal window below its left wing you can see the remains of intricate machinery it is not clear what result winding it would have as the mainspring seems sprung ,19.5, new area score ---forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path there is a somewhat ruined egg here there is a golden clockwork canary nestled in the egg it seems to have recently had a bad experience the mountings for its jewel-like eyes are empty and its silver beak is crumpled through a cracked crystal window below its left wing you can see the remains of intricate machinery it is not clear what result winding it would have as the mainspring seems sprung you are carrying a bird's nest - moved around - ,325.0,9,73
74,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path there is a somewhat ruined egg here there is a golden clockwork canary nestled in the egg it seems to have recently had a bad experience the mountings for its jewel-like eyes are empty and its silver beak is crumpled through a cracked crystal window below its left wing you can see the remains of intricate machinery it is not clear what result winding it would have as the mainspring seems sprung you are carrying a bird's nest,you are carrying a bird's nest,go east,forest this is a dimly lit forest with large trees all around,19.5, new area score ---forest this is a dimly lit forest with large trees all around you are carrying a bird's nest - moved around - ,344.5,10,74
75,forest this is a dimly lit forest with large trees all around you are carrying a bird's nest,you are carrying a bird's nest,leave nest,dropped,69.5, inventory score (you are carrying a bird's nest --- you are empty-handed) new area score ---forest this is a dimly lit forest with large trees all around there is a bird's nest here you are empty-handed - moved around - ,414.0,11,75
76,forest this is a dimly lit forest with large trees all around there is a bird's nest here you are empty-handed,you are empty-handed,read nest,taken how does one read a bird's nest,49.5, inventory score (you are empty-handed --- you are carrying a bird's nest) - moved around - ,463.5,12,76
77,forest this is a dimly lit forest with large trees all around you are carrying a bird's nest,you are carrying a bird's nest,go west,forest path there is a somewhat ruined egg here there is a golden clockwork canary nestled in the egg it seems to have recently had a bad experience the mountings for its jewel-like eyes are empty and its silver beak is crumpled through a cracked crystal window below its left wing you can see the remains of intricate machinery it is not clear what result winding it would have as the mainspring seems sprung,-0.5, - moved around - ,463.0,13,77
78,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path there is a somewhat ruined egg here there is a golden clockwork canary nestled in the egg it seems to have recently had a bad experience the mountings for its jewel-like eyes are empty and its silver beak is crumpled through a cracked crystal window below its left wing you can see the remains of intricate machinery it is not clear what result winding it would have as the mainspring seems sprung you are carrying a bird's nest,you are carrying a bird's nest,go south,north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees,19.5, new area score ---north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees you are carrying a bird's nest - moved around - ,482.5,14,78
79,north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees you are carrying a bird's nest,you are carrying a bird's nest,go southeast,behind house you are behind the white house a path leads into the forest to the east in one corner of the house there is a small window which is slightly ajar,19.5, new area score ---behind house you are behind the white house a path leads into the forest to the east in one corner of the house there is a small window which is slightly ajar you are carrying a bird's nest - moved around - ,502.0,15,79
80,behind house you are behind the white house a path leads into the forest to the east in one corner of the house there is a small window which is slightly ajar you are carrying a bird's nest,you are carrying a bird's nest,open window,with great effort you open the window far enough to allow entry,19.5, new area score ---behind house you are behind the white house a path leads into the forest to the east in one corner of the house there is a small window which is open you are carrying a bird's nest - moved around - ,521.5,16,80
81,behind house you are behind the white house a path leads into the forest to the east in one corner of the house there is a small window which is open you are carrying a bird's nest,you are carrying a bird's nest,carry window to bird,that sentence isn't one i recognize,-1.0,,520.5,17,81
82,behind house you are behind the white house a path leads into the forest to the east in one corner of the house there is a small window which is open you are carrying a bird's nest,you are carrying a bird's nest,move bird,you can't see any bird here,-1.0,,519.5,18,82
83,behind house you are behind the white house a path leads into the forest to the east in one corner of the house there is a small window which is open you are carrying a bird's nest,you are carrying a bird's nest,go east,clearing you are in a small clearing in a well marked forest path that extends to the east and west,19.5, new area score ---clearing you are in a small clearing in a well marked forest path that extends to the east and west you are carrying a bird's nest - moved around - ,539.0,19,83
84,clearing you are in a small clearing in a well marked forest path that extends to the east and west you are carrying a bird's nest,you are carrying a bird's nest,pull nest,you aren't an accomplished enough juggler,-1.0,,538.0,20,84
85,clearing you are in a small clearing in a well marked forest path that extends to the east and west you are carrying a bird's nest,you are carrying a bird's nest,go north,forest ,-0.5, - moved around - ,537.5,21,85
86,forest this is a dimly lit forest with large trees all around you are carrying a bird's nest,you are carrying a bird's nest,go west,forest path there is a somewhat ruined egg here there is a golden clockwork canary nestled in the egg it seems to have recently had a bad experience the mountings for its jewel-like eyes are empty and its silver beak is crumpled through a cracked crystal window below its left wing you can see the remains of intricate machinery it is not clear what result winding it would have as the mainspring seems sprung,-0.5, - moved around - ,537.0,22,86
87,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path there is a somewhat ruined egg here there is a golden clockwork canary nestled in the egg it seems to have recently had a bad experience the mountings for its jewel-like eyes are empty and its silver beak is crumpled through a cracked crystal window below its left wing you can see the remains of intricate machinery it is not clear what result winding it would have as the mainspring seems sprung you are carrying a bird's nest,you are carrying a bird's nest ,go south,north of house,-0.5, - moved around - ,536.5,23,87
88,north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees you are carrying a bird's nest,you are carrying a bird's nest,go southwest,west of house there is a small mailbox here,19.5, new area score ---west of house you are standing in an open field west of a white house with a boarded front door there is a small mailbox here you are carrying a bird's nest - moved around - ,556.0,24,88
89,west of house you are standing in an open field west of a white house with a boarded front door there is a small mailbox here you are carrying a bird's nest,you are carrying a bird's nest,go north,north of house,-0.5, - moved around - ,555.5,25,89
90,north of house you are facing the north side of a white house there is no door here and all the windows are boarded up to the north a narrow path winds through the trees you are carrying a bird's nest,you are carrying a bird's nest,go east,behind house,-0.5, - moved around - ,555.0,26,90
91,behind house you are behind the white house a path leads into the forest to the east in one corner of the house there is a small window which is open you are carrying a bird's nest,you are carrying a bird's nest,go south,south of house,19.5, new area score ---south of house you are facing the south side of a white house there is no door here and all the windows are boarded you are carrying a bird's nest - moved around - ,574.5,27,91
92,south of house you are facing the south side of a white house there is no door here and all the windows are boarded you are carrying a bird's nest,you are carrying a bird's nest,pull bird,you can't see any bird here,-1.0,,573.5,28,92
93,south of house you are facing the south side of a white house there is no door here and all the windows are boarded you are carrying a bird's nest,you are carrying a bird's nest,go south,forest this is a dimly lit forest with large trees all around,-0.5, - moved around - ,573.0,29,93
94,forest this is a dimly lit forest with large trees all around you are carrying a bird's nest,you are carrying a bird's nest,go west,forest,19.5, new area score ---forest this is a forest with trees in all directions to the east there appears to be sunlight you are carrying a bird's nest - moved around - ,592.5,30,94
95,forest this is a forest with trees in all directions to the east there appears to be sunlight you are carrying a bird's nest,you are carrying a bird's nest,go south,forest,-0.5, - moved around - ,592.0,31,95
